week,ydstogo,yardline_100,posteam_timeouts_remaining,defteam_timeouts_remaining,score_diff,converted,down1_pct,down2_pct,down3_pct,successes,failures,prep_days,rush,dome,KICKOFF,PUNT,home,random_var,minutes_remaining
2,1,26,2,2,-7,0,68.2,53.3,20,2,3,7,1,0,1,0,1,1.1796584602814,30.583333333333332
2,15,80,3,3,-1,0,68.2,53.3,20,2,3,7,0,0,1,0,1,1.19615504811678,29.7
2,11,13,3,3,-8,0,68.2,53.3,20,2,3,7,0,0,1,0,1,0.93327956876701,18.916666666666668
2,3,57,3,2,-12,1,68.2,53.3,20,2,3,7,0,0,1,0,1,0.552553694866169,14.516666666666667
2,8,10,3,2,-12,0,68.2,53.3,20,2,3,7,0,0,1,0,1,0.457372038613138,12.6
2,8,73,2,3,5,0,60.9,52.6,43.8,0,2,7,0,0,1,0,0,0.995884218022249,11.116666666666667
2,2,57,3,2,-5,1,68.2,53.3,20,2,3,7,1,0,0,1,1,0.081793851722228,9.483333333333333
2,7,21,3,2,-5,0,68.2,53.3,20,2,3,7,0,0,0,1,1,-0.0435224601929037,8.266666666666667
2,1,66,2,3,2,0,60.9,52.6,43.8,0,2,7,1,0,1,0,0,0.187899781580755,6.816666666666666
2,3,42,3,2,-2,1,68.2,53.3,20,2,3,7,0,0,0,1,1,1.14848650674167,4.983333333333333
2,3,25,2,2,-2,0,68.2,53.3,20,2,3,7,1,0,0,1,1,-0.0927196126226845,2.816666666666667
2,6,12,2,0,-2,0,68.2,53.3,20,2,3,7,1,0,0,1,1,-1.40286066667066,1.7833333333333334
2,10,75,0,1,-1,0,60.9,52.6,43.8,0,2,7,0,0,1,0,0,1.1085042033591,0.8
2,3,56,3,3,0,1,55.2,17.4,25,1,5,7,0,0,1,0,0,0.262361246147739,58.96666666666667
2,5,40,3,3,0,1,55.2,17.4,25,1,5,7,0,0,1,0,0,-0.22556021926621,57.78333333333333
2,5,77,3,3,-7,0,50,27.3,11.8,2,6,7,0,0,1,0,1,0.0744013019261366,54.38333333333333
2,4,62,3,3,-14,1,50,27.3,11.8,2,6,7,0,0,1,0,1,0.916090084457035,52.96666666666667
2,1,25,3,3,-14,1,50,27.3,11.8,2,6,7,1,0,1,0,1,0.82666490199886,51.8
2,6,19,3,3,-14,0,50,27.3,11.8,2,6,7,0,0,1,0,1,0.474149261668614,50.45
2,6,8,3,3,-14,1,50,27.3,11.8,2,6,7,0,0,1,0,1,-0.741938989875694,48.31666666666667
2,7,72,3,3,7,0,55.2,17.4,25,1,5,7,0,0,1,0,0,0.178411823124608,47.38333333333333
2,7,63,3,3,-7,0,50,27.3,11.8,2,6,7,0,0,0,1,1,1.0521414956422,46.43333333333333
2,20,78,3,3,7,0,55.2,17.4,25,1,5,7,0,0,0,1,0,-0.572481026328727,44.4
2,8,60,3,3,-7,0,50,27.3,11.8,2,6,7,0,0,0,1,1,-0.667374237981381,42.916666666666664
2,8,35,3,3,-14,1,50,27.3,11.8,2,6,7,0,0,1,0,1,-1.13138194418294,36.68333333333333
2,5,11,3,3,-14,0,50,27.3,11.8,2,6,7,0,0,1,0,1,0.748613429189918,34.55
2,4,69,3,3,11,1,55.2,17.4,25,1,5,7,0,0,1,0,0,0.175874446195805,33.05
2,3,50,3,2,11,1,55.2,17.4,25,1,5,7,0,0,1,0,0,-0.70928657219306,31.9
2,3,35,3,2,11,1,55.2,17.4,25,1,5,7,0,0,1,0,0,-1.30391121788324,31.2
2,7,15,2,2,11,1,55.2,17.4,25,1,5,7,0,0,1,0,0,0.421696784553425,30.616666666666667
2,13,78,3,3,-18,1,50,27.3,11.8,2,6,7,0,0,1,0,1,3.38637883564311,28.766666666666666
2,5,53,3,3,-18,0,50,27.3,11.8,2,6,7,0,0,1,0,1,-0.0404440249423281,27.1
2,12,46,3,3,-18,0,50,27.3,11.8,2,6,7,0,0,1,0,1,1.39184527076429,24.966666666666665
2,10,33,3,3,18,0,55.2,17.4,25,1,5,7,0,0,0,1,0,0.414002722135468,21.533333333333335
2,7,59,3,2,-21,1,50,27.3,11.8,2,6,7,0,0,1,0,1,0.159493289337807,18.016666666666666
2,12,12,3,2,-21,0,50,27.3,11.8,2,6,7,0,0,1,0,1,-0.0402261360593639,14.183333333333334
2,7,72,2,3,18,0,55.2,17.4,25,1,5,7,0,0,1,0,0,-0.340954948551384,11.95
2,4,56,2,3,11,0,55.2,17.4,25,1,5,7,0,0,1,0,0,-0.819657419863112,6.85
2,11,89,2,2,-11,0,50,27.3,11.8,2,6,7,0,0,0,1,1,1.4075659198177,5.316666666666666
2,10,71,2,2,-11,1,50,27.3,11.8,2,6,7,0,0,0,1,1,-2.9597859016369,4.2
2,13,28,1,2,-11,0,50,27.3,11.8,2,6,7,0,0,0,1,1,-2.25154873649236,2.8
2,5,54,2,0,11,0,55.2,17.4,25,1,5,7,1,0,0,0,0,-0.108928306501053,2
2,3,65,0,1,-11,1,50,27.3,11.8,2,6,7,0,0,0,1,1,-0.743577077089528,0.5833333333333334
2,10,54,0,0,-11,1,50,27.3,11.8,2,6,7,0,0,0,1,1,-1.31789502626541,0.23333333333333334
2,4,69,3,3,0,1,54.8,50,41.7,1,4,7,0,0,1,0,1,-0.260920260807402,58.766666666666666
2,6,42,3,3,0,0,54.8,50,41.7,1,4,7,0,0,1,0,1,0.387250164041933,56.516666666666666
2,1,81,3,3,0,0,36,50,21.4,2,6,10,0,0,0,1,0,-0.486206597777471,54.6
