week,attempt,ydstogo,yardline_100,minutes_remaining,posteam_timeouts_remaining,defteam_timeouts_remaining,score_diff,down1_pct,down2_pct,down3_pct,successes,failures,prep_days,dome,KICKOFF,PUNT,home,random_var
2,0,5,5,39.9166666666667,3,1,0,64,28.6,18.8,0,2,8,0,0,1,0,0.103633923008981
2,0,13,78,38.4833333333333,1,3,-3,54.8,44,14.3,0,0,8,0,1,0,1,-0.875382522065583
2,0,2,50,36.4333333333333,3,1,3,64,28.6,18.8,0,2,8,0,0,1,0,0.623409286785109
2,0,3,68,34.1666666666667,1,3,-3,54.8,44,14.3,0,0,8,0,0,1,1,1.29266755209234
2,0,25,61,30.6166666666667,1,0,3,64,28.6,18.8,0,2,8,0,0,0,0,-0.0120540419163074
2,0,3,51,26.8833333333333,3,3,-3,54.8,44,14.3,0,0,8,0,1,0,1,-1.55237665560574
2,0,7,94,25.6,3,3,3,64,28.6,18.8,0,2,8,0,0,1,0,-1.27308836751832
2,1,1,32,24.4333333333333,3,3,-3,54.8,44,14.3,0,0,8,0,0,1,1,-0.34896129218551
2,0,5,36,24.25,3,3,-3,54.8,44,14.3,0,0,8,0,0,1,1,0.346619547071969
2,0,7,72,16.5333333333333,3,3,-7,54.8,44,14.3,0,0,8,0,1,0,1,0.700994544059338
2,0,9,49,12.9,2,3,7,64,28.6,18.8,0,2,8,0,0,1,0,-0.109069648936193
2,0,8,18,5.56666666666667,2,2,-7,54.8,44,14.3,0,0,8,0,0,1,1,-1.12196222321051
2,1,2,54,1.91666666666667,2,2,-11,54.8,44,14.3,0,0,8,0,1,0,1,0.0898865471512773
2,0,6,37,57.2833333333333,3,3,0,50,52.6,21.4,4,3,7,0,1,0,1,-0.61872877437231
2,0,2,47,55.9833333333333,3,3,0,50,40,43.8,0,2,7,0,0,0,0,-0.108259525293458
2,0,5,56,48.45,3,3,-7,50,40,43.8,0,2,7,0,1,0,0,-0.71779683630728
2,0,14,79,43.9666666666667,2,3,-14,50,40,43.8,0,2,7,0,1,0,0,1.63018966848682
2,0,5,19,38.7833333333333,3,2,14,50,52.6,21.4,4,3,7,0,0,1,1,0.139300625691767
2,0,13,26,31.2166666666667,3,1,17,50,52.6,21.4,4,3,7,0,0,0,1,0.0973212215157436
2,0,11,44,14.85,3,3,14,50,52.6,21.4,4,3,7,0,1,0,1,-0.10888034068345
2,1,1,6,9.78333333333333,3,3,-14,50,40,43.8,0,2,7,0,0,1,0,1.38284267665716
2,0,11,76,7.7,3,3,7,50,52.6,21.4,4,3,7,0,1,0,1,0.816189571751104
2,0,11,76,2.65,3,3,0,50,52.6,21.4,4,3,7,0,1,0,1,1.03150920358259
2,0,6,16,0.383333333333333,2,0,0,50,40,43.8,0,2,7,0,0,1,0,0.0892521570590155
2,0,12,77,52.1833333333333,3,3,-7,57.1,62.5,23.1,4,3,6,0,1,0,0,0.318669326299282
2,0,1,60,50.6333333333333,3,3,7,66.7,56.2,38.5,1,0,7,0,0,1,1,-0.893466596722516
2,1,1,81,48.4333333333333,3,3,-7,57.1,62.5,23.1,4,3,6,0,0,1,0,1.03807490660975
2,0,1,68,46.0166666666667,3,3,-7,57.1,62.5,23.1,4,3,6,0,0,1,0,1.39862254585169
2,0,4,17,39.2333333333333,3,3,7,66.7,56.2,38.5,1,0,7,0,0,1,1,-0.0574461307639311
2,0,4,69,38.3833333333333,3,3,-10,57.1,62.5,23.1,4,3,6,0,1,0,0,-0.816213789956462
2,0,8,75,37.55,3,3,10,66.7,56.2,38.5,1,0,7,0,0,1,1,1.65136064365355
2,0,5,16,30.1166666666667,0,3,-11,57.1,62.5,23.1,4,3,6,0,1,0,0,-1.10050927926721
2,0,15,80,28.3833333333333,3,3,-8,57.1,62.5,23.1,4,3,6,0,1,0,0,-2.02480648851396
2,0,3,3,22.45,3,3,8,66.7,56.2,38.5,1,0,7,0,0,1,1,0.506425853090166
2,0,9,36,20.4,3,3,11,66.7,56.2,38.5,1,0,7,0,0,0,1,0.224920664128851
2,0,9,74,18.8666666666667,3,3,-14,57.1,62.5,23.1,4,3,6,0,1,0,0,-1.0963966234189
